Date,A,B,C
,-7.353153,-3.679202,30.082783
,-7.207618,-3.607063,29.86907
,-7.065112,-3.542463,29.653596
,-6.925805,-3.485151,29.436708
,-6.789853,-3.434872,29.21873
,-6.657396,-3.391368,28.999963
,-6.528557,-3.354382,28.780688
,-6.403445,-3.323661,28.561165
,-6.282155,-3.298952,28.341636
,-6.164766,-3.280009,28.122324
,-6.051349,-3.266593,27.903435
,-5.941958,-3.258471,27.685163
,-5.83664,-3.255416,27.467682
,-5.735429,-3.257212,27.251156
,-5.63835,-3.263652,27.035738
,-5.545419,-3.274537,26.821566
,-5.456644,-3.289679,26.60877
,-5.372026,-3.3089,26.397471
,-5.291558,-3.332032,26.18778
,-5.215227,-3.358919,25.979801
,-5.143017,-3.389412,25.773633
,-5.074903,-3.423374,25.569366
,-5.010858,-3.46068,25.367086
,-4.950853,-3.501213,25.166875
,-4.894852,-3.544864,24.96881
,-4.842819,-3.591539,24.772965
,-4.794716,-3.641147,24.579411
,-4.750502,-3.693611,24.388216
,-4.710134,-3.74886,24.199447
,-4.67357,-3.806833,24.013168
,-4.640766,-3.867475,23.829445
,-4.61168,-3.93074,23.648339
,-4.586266,-3.99659,23.469914
,-4.564482,-4.064994,23.294233
,-4.546285,-4.135926,23.121359
,-4.531633,-4.209368,22.951355
,-4.520485,-4.285307,22.784287
,-4.512802,-4.363735,22.62022
